Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%
2,Demon Slayer the Movie: Mugen Train,"$453,210,959","$49,505,008",10.9%,"$403,705,951",89.1%
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
5,Tenet,"$365,294,355","$58,504,105",16%,"$306,790,250",84%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$251,410,631","$77,047,065",30.6%,"$174,363,566",69.4%
8,Legend of Deification,"$240,646,355","$214,670",<0.1%,"$240,431,685",99.9%
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
10,The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%
11,Birds of Prey,"$205,308,611","$84,158,461",41%,"$121,150,150",59%
12,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%
13,Wonder Woman 1984,"$169,602,006","$46,801,036",27.6%,"$122,800,970",72.4%
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
15,The Invisible Man,"$144,492,724","$70,410,000",48.7%,"$74,082,724",51.3%
16,Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
18,Soul,"$120,957,731",-,-,"$120,957,731",100%
19,The Call of the Wild,"$111,202,881","$62,342,368",56.1%,"$48,860,513",43.9%
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
21,Mulan,"$69,965,374",-,-,"$69,965,374",100%
22,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
23,Stand by Me Doraemon 2,"$65,201,374",-,-,"$65,201,374",100%
24,The Rescue,"$64,203,587","$18,797",<0.1%,"$64,184,790",100%
25,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
26,Greenland,"$52,300,000",-,-,"$52,300,000",100%
27,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
28,Vanguard,"$50,866,901","$793,525",1.6%,"$50,073,376",98.4%
29,Fantasy Island,"$49,447,308","$27,309,289",55.2%,"$22,138,019",44.8%
30,Trolls 2: World Tour,"$49,276,818","$450,000",0.9%,"$48,826,818",99.1%
31,The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%
32,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
33,"From Today, It's My Turn: The Movie","$47,895,887",-,-,"$47,895,887",100%
34,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
35,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%
36,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
37,The War with Grandpa,"$43,387,445","$21,277,892",49%,"$22,109,553",51%
38,Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
39,Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%
40,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
41,Bloodshot,"$39,861,118","$12,561,824",31.5%,"$27,299,294",68.5%
42,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
43,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
44,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
45,Black Panther 2020 Re-release,"$35,335,665","$367,000",1%,"$34,968,665",99%
46,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
47,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
48,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,-,"$33,942,341",100%
49,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
50,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
51,Honest Thief,"$31,220,247","$14,163,574",45.4%,"$17,056,673",54.6%
52,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%
53,The Witches,"$29,333,671","$203,571",0.7%,"$29,130,100",99.3%
54,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
55,Scoob!,"$28,559,165","$2,188,425",7.7%,"$26,370,740",92.3%
56,Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%
57,Emma.,"$26,404,660","$10,055,355",38.1%,"$16,349,305",61.9%
58,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
59,The Father,"$24,713,279","$2,122,771",8.6%,"$22,590,508",91.4%
